,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
0,,4.0,no issues,2014-07-23,138,0,0,0,0,0.0,0.0
1,0mie,5.0,purchased device worked advertised you never much phone memory since i download lot stuff brainer me,2013-10-25,409,0,0,0,0,0.0,0.0
2,1K3,4.0,works expected i sprung higher capacity i think made bit cheesier earlier versions paint looks clean,2012-12-23,715,0,0,0,0,0.0,0.0
3,1m2,5.0,this think worked greathad diff bran gb card went south monthsthis one held pretty well since i s note update ive months zero issues since transferred s note note this card reliable solidcheers,2013-11-21,382,0,0,0,0,0.0,0.0
4,2&amp;1/2Men,5.0,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price get nice sd card,2013-07-13,513,0,0,0,0,0.0,0.0
5,2Cents!,5.0,its mini storage it anything else supposed to i purchased add additional storage microsoft surface pro tablet come gb it supposed sandisk long standing reputation speaks itself,2013-04-29,588,0,0,0,0,0.0,0.0
6,2K1Toaster,5.0,i phone never skips beat file transfers speedy corruption issues memory fade issues i would expect sandisk brand great card own why entrust precious files slightly cheaper piece crap if lose everything forgive spending extra couple bucks trusted product goes good qa,2013-10-19,415,0,0,0,0,0.0,0.0
7,"35-year Technology Consumer ""8-tracks to 802.11""",5.0,its hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music i want schlep or risk phone ipod works great sd card readersselect confidence,2014-10-07,62,0,0,0,0,0.0,0.0
8,4evryoung,5.0,works htc rezound was running short space gb sandisk i ordered came out fast issues,2014-03-24,259,1,0,1,1,1.0,0.2065493143772374
9,53rdcard,5.0,galaxy s super fast card totally happy happy still type fill required words though,2013-11-10,393,0,0,0,0,0.0,0.0
10,808TREX50,5.0,i like sd card take music video downloads personal videos filesdocs multimedia images fast transfer rate class speed it take games large files easily still enough space apps its great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots i recommend gb sd card everyone,2013-11-05,398,0,0,0,0,0.0,0.0
11,98020,3.0,it works file writes bit slower expected usb readeralso reads writes faster card inside standardsize sd adapter mbs vs write mbs vs mbs read card reader cant figure why,2013-11-20,383,0,0,0,0,0.0,0.0
12,9z4cda,5.0,the name of itself speaks out go sandisk go,2014-04-07,245,0,0,0,0,0.0,0.0
13,"A4Q96 ""Gadget Lover""",5.0,solid sdhc card fast at reading writing fast for recording video pics great capacity reasonably priced i issues itoverall highly recommend,2013-11-21,382,0,0,0,0,0.0,0.0
14,"Aaron ""Aaron""",5.0,heard cards write speed insufficient however i used extensively single problem it,2014-02-17,294,0,0,0,0,0.0,0.0
15,"Aaron ""Aaron""",5.0,i bought use go pro hero black edition it requires class microsdxc card so far ive issues it fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed,2013-04-01,616,0,0,0,0,0.0,0.0
